,T_ext,T1_L1,T2_L1,T3_L1,T4_L1,T5_L1,T6_L1,T7_L1,T8_L1,T9_L1,H1_L1,H2_L1,H3_L1,H4_L1,H5_L1,H6_L1,H7_L1,H8_L1,H9_L1,P1_L1,P2_L1,P3_L1,P4_L1,P5_L1,P6_L1,P7_L1,P8_L1,P9_L1,T1_L2,T2_L2,T3_L2,T4_L2,T9_L2,H1_L2,H2_L2,H3_L2,H4_L2,H9_L2,P1_L2,P2_L2,P3_L2,P4_L2,P9_L2,T7_L2,H7_L2,P7_L2
2023-12-01 00:00:00,284.2029411764706,296.3911764705882,352.25588235294117,287.6264705882353,273.2153828865493,273.2153828865493,273.2153828865493,265.7911764705882,265.7911764705882,265.7911764705882,474257.38471697934,514885.8543080712,237479.39138349376,237479.39138349376,200159.63782257788,430855.1628941695,200159.63782257788,430855.1628941695,434293.478094631,2853422.5437849173,5311764.705882353,5311764.705882353,3491176.4705882357,3491176.4705882357,3491176.4705882357,2853422.5437849173,2853422.5437849173,2853422.5437849173,269.65588235294115,352.47941176470584,265.7911764705882,,238.67941176471552,467730.05115217797,534453.0651152194,200159.63782257788,,436307.9614368297,1224942.7175517182,2853422.5437849173,2853422.5437849173,,1224942.7175517182,238.67941176470586,200159.63782257788,1224942.7175517182
2023-12-01 01:00:00,284.1264705882353,295.9323529411764,351.61470588235295,287.9970588235294,273.06232015452804,273.06232015452804,273.06232015452804,265.4911764705882,265.4911764705882,265.4911764705882,474036.8057470094,514026.7792158152,238660.2894180296,238660.2894180296,199786.06782798306,430944.29339942505,199786.06782798306,430944.29339942505,434398.2050242045,2829601.774947177,5321764.705882353,5321764.705882353,3477058.823529412,3477058.823529412,3477058.823529412,2829601.774947177,2829601.774947177,2829601.774947177,269.42647058823525,352.4147058823529,265.4911764705882,,238.4382352941175,467651.1733309605,534561.6254283624,199786.06782798306,,436272.8137171079,1214643.6102863154,2829601.774947177,2829601.774947177,,1214643.6102863154,238.43823529411762,199786.06782798306,1214643.6102863154
2023-12-01 02:00:00,283.45,297.01874999999995,352.2625,287.50624999999997,273.1078084204565,273.1078084204565,273.1078084204565,265.61875,265.61875,265.61875,475157.8711893054,515286.53725114674,237235.712776197,237235.712776197,199897.0349696693,430917.89403752366,199897.0349696693,430917.89403752366,434353.96371497505,2839713.5615189504,5265000.0,5265000.0,3481250.0,3481250.0,3481250.0,2839713.5615189504,2839713.5615189504,2839713.5615189504,269.59999999999997,354.04375,265.61875,,238.26875000000797,467918.55346472026,536164.5284652708,199897.0349696693,,436247.6695992213,1207444.3271998537,2839713.5615189504,2839713.5615189504,,1207444.3271998537,238.26874999999998,199897.0349696693,1207444.3271998537
2023-12-01 03:00:00,282.45,300.00882352941176,353.26176470588234,285.985294117647,273.1325306976001,273.1325306976001,273.1325306976001,264.8441176470588,264.8441176470588,264.8441176470588,479323.4414041841,518153.7972675587,232980.89719776798,232980.89719776798,199957.3629437661,430903.5147751536,199957.3629437661,430903.5147751536,434615.992642246,2778719.9814402647,5062941.176470589,5062941.176470589,3483529.411764706,3483529.411764706,3483529.411764706,2778719.9814402647,2778719.9814402647,2778719.9814402647,270.35588235294114,351.1441176470588,264.8441176470588,,238.72647058823628,468379.2376190645,533630.3772730505,199957.3629437661,,436314.73266069713,1226959.7916374258,2778719.9814402647,2778719.9814402647,,1226959.7916374258,238.72647058823526,199957.3629437661,1226959.7916374258
2023-12-01 04:00:00,282.06874999999997,297.90625,352.09999999999997,286.3875,273.1484742223967,273.1484742223967,273.1484742223967,265.7625,265.7625,265.7625,476031.6517857779,516335.29990460613,234096.07575711104,234096.07575711104,199996.27579435092,430894.22971185716,199996.27579435092,430894.22971185716,434303.5926861253,2851139.230567699,5116250.0,5116250.0,3485000.0,3485000.0,3485000.0,2851139.230567699,2851139.230567699,2851139.230567699,268.29375,352.09375,265.7625,,238.23125000000073,466679.00600389286,534072.2994622781,199996.27579435092,,436242.056873338,1205855.6941157659,2851139.230567699,2851139.230567699,,1205855.6941157659,238.23125,199996.27579435092,1205855.6941157659
2023-12-01 05:00:00,282.0205882352941,300.0147058823529,353.53235294117644,286.63235294117646,273.1325306976001,273.1325306976001,273.1325306976001,265.95,265.95,265.95,478255.5262524845,517575.2586238487,234709.56200213727,234709.56200213727,199957.3629437661,430903.5147751536,199957.3629437661,430903.5147751536,434237.0587789917,2866092.855940195,5172352.94117647,5172352.94117647,3483529.411764706,3483529.411764706,3483529.411764706,2866092.855940195,2866092.855940195,2866092.855940195,269.02647058823527,352.0911764705882,265.95,,238.83823529411993,467025.2610591892,533959.2500717613,199957.3629437661,,436330.7003058513,1231760.1681401453,2866092.855940195,2866092.855940195,,1231760.1681401453,238.83823529411762,199957.3629437661,1231760.1681401453
2023-12-01 06:00:00,281.875,297.2125,351.14374999999995,286.20624999999995,273.4120181281351,273.4120181281351,273.4120181281351,266.08124999999995,266.08124999999995,266.08124999999995,474907.2766191315,514895.62333073956,233425.53213420132,233425.53213420132,200640.3014755031,430739.40188782726,200640.3014755031,430739.40188782726,434189.9210148043,2876594.5339131895,5151875.0,5151875.0,3509375.0,3509375.0,3509375.0,2876594.5339131895,2876594.5339131895,2876594.5339131895,267.7625,351.70624999999995,266.08124999999995,,238.46250000000575,466026.039290501,533484.1948627504,200640.3014755031,,436276.38356392615,1215676.897789082,2876594.5339131895,2876594.5339131895,,1215676.897789082,238.46249999999998,200640.3014755031,1215676.897789082
2023-12-01 07:00:00,281.7029411764706,295.99117647058824,349.0205882352941,286.24411764705883,273.15803795546174,273.15803795546174,273.15803795546174,265.81470588235294,265.81470588235294,265.81470588235294,473770.11339674226,512762.43227658933,233679.8991949939,233679.8991949939,200019.6203377146,430888.6556168423,200019.6203377146,430888.6556168423,434285.16246902704,2855297.032046475,5103529.4117647065,5103529.4117647065,3485882.3529411764,3485882.3529411764,3485882.3529411764,2855297.032046475,2855297.032046475,2855297.032046475,267.8205882352941,351.3794117647059,265.81470588235294,,238.33823529411944,466157.1530303103,533304.789222123,200019.6203377146,,436258.0223861538,1210392.055219437,2855297.032046475,2855297.032046475,,1210392.055219437,238.33823529411762,200019.6203377146,1210392.055219437
2023-12-01 08:00:00,281.76874999999995,298.17499999999995,350.46875,286.5875,272.94482140579686,272.94482140579686,272.94482140579686,265.5625,265.5625,265.5625,476540.6889580169,514452.59449221933,234753.02243822045,234753.02243822045,199499.64005295155,431012.1373054837,199499.64005295155,431012.1373054837,434373.5240338721,2835251.792994015,5108750.0,5108750.0,3466250.0,3466250.0,3466250.0,2835251.792994015,2835251.792994015,2835251.792994015,268.575,351.92499999999995,265.5625,,238.05000000000447,467058.0468099623,534015.6621830206,199499.64005295155,,436214.67714056186,1198199.0513900765,2835251.792994015,2835251.792994015,,1198199.0513900765,238.04999999999998,199499.64005295155,1198199.0513900765
2023-12-01 09:00:00,281.4911764705882,293.0441176470588,348.9676470588235,286.67352941176466,273.36164015925925,273.36164015925925,273.36164015925925,265.90882352941173,265.90882352941173,265.90882352941173,470228.68494512467,512075.40636457806,234829.98753517357,234829.98753517357,200517.07471189863,430769.19526150153,200517.07471189863,430769.19526150153,434251.75120259123,2862804.0095757055,5175882.352941176,5175882.352941176,3504705.882352941,3504705.882352941,3504705.882352941,2862804.0095757055,2862804.0095757055,2862804.0095757055,268.5558823529411,351.2735294117647,265.90882352941173,,238.7676470588299,466611.30438474193,533139.7648998249,200517.07471189863,,436320.6341578419,1228726.7417909934,2862804.0095757055,2862804.0095757055,,1228726.7417909934,238.7676470588235,200517.07471189863,1228726.7417909934
